time_ms,x_m,y_m,RSSI
4799,0.050,0.000,-59
4922,0.100,0.000,-59
5750,0.150,0.001,-65
6567,0.148,0.050,-59
6690,0.098,0.049,-58
6813,0.048,0.048,-61
7630,-0.001,0.048,-61
8447,-0.001,0.097,-60
8570,0.049,0.098,-61
8693,0.099,0.099,-62
9510,0.148,0.102,-61
10327,0.145,0.150,-59
10450,0.095,0.149,-61
10573,0.045,0.148,-65
11390,-0.004,0.148,-67
12206,-0.003,0.197,-67
12329,0.048,0.198,-66
12452,0.098,0.199,-68
13268,0.146,0.202,-65
14085,0.142,0.250,-66
14208,0.092,0.249,-66
14331,0.042,0.247,-67
15148,-0.006,0.249,-64
