time_ms,x_m,y_m,RSSI
4708,0.050,0.000,-56
4831,0.100,0.000,-58
5648,0.150,0.001,-60
6464,0.149,0.050,-55
6587,0.099,0.050,-55
6710,0.049,0.050,-56
7526,-0.000,0.051,-62
8342,0.001,0.100,-56
8465,0.051,0.100,-59
8588,0.102,0.100,-62
9404,0.150,0.102,-60
10220,0.148,0.150,-59
10343,0.098,0.150,-60
10466,0.048,0.150,-65
11282,-0.000,0.152,-65
12098,0.002,0.200,-65
12221,0.052,0.200,-63
12344,0.102,0.200,-62
13160,0.150,0.202,-64
13976,0.147,0.250,-62
14099,0.097,0.250,-63
14222,0.047,0.250,-66
15038,-0.000,0.253,-64
