time_ms,x_m,y_m,RSSI
4782,0.050,0.000,-70
4905,0.100,0.000,-69
5722,0.150,0.001,-64
6538,0.149,0.050,-59
6661,0.099,0.050,-58
6784,0.049,0.050,-59
7600,-0.000,0.051,-59
8416,0.001,0.100,-58
8539,0.051,0.100,-62
8662,0.102,0.100,-65
9478,0.150,0.102,-63
10294,0.148,0.150,-66
10417,0.098,0.150,-66
10540,0.048,0.150,-66
11356,-0.000,0.152,-63
12172,0.002,0.200,-63
12295,0.052,0.200,-62
12418,0.102,0.200,-64
13234,0.150,0.202,-64
14050,0.147,0.250,-64
14173,0.097,0.250,-67
14296,0.047,0.250,-67
15112,-0.000,0.253,-65
